ID,title,impact,likelihood,risk_score,priority,impact_rationale,likelihood_rationale
AUTH-001,Successful login and session establishment,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
AUTH-002,Login form client-side validation,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
AUTH-003,Server-side login rejection,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
AUTH-004,SQL injection via login email,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
AUTH-005,Login input handling and error display,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
AUTH-006,JWT and session lifecycle,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
AUTH-007,No rate limiting on login endpoint,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
AUTH-008,Remember-me OAuth and login UX,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
AUTH-009,2FA gate after password at login,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
AUTH-010,Login error handling and exposed credentials,4,5,20,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
REG-001,Valid user registration,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REG-002,Duplicate email rejected,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REG-003,Password mismatch blocks registration,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
REG-004,Security question required,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
REG-005,Email sanitization on registration,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REG-006,Empty required fields rejected,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
REG-007,Registration creates wallet,4,2,8,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,逻辑简单或已有明确校验，逃逸概率较低
REG-008,Weak or short password on registration,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
REG-009,Invalid security answer rejected,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
PWD-001,Password reset with valid email,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PWD-002,Password reset rate limited,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PWD-003,Password reset unknown email,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
PWD-004,Change password with current credentials,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PWD-005,Change password without current password,5,4,20,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,涉及多组件/边界条件，历史同类缺陷常见
PWD-006,Retrieve security question for reset,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
PWD-007,Security answer verification on reset,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PWD-008,Login vs reset rate limit contrast,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-001,2FA verify with valid TOTP after tmpToken,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-002,2FA verify with invalid TOTP,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-003,2FA setup returns secret and QR,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-004,2FA status reflects enrollment,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-005,2FA disable requires valid TOTP,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
TFA-006,2FA verify rejects expired tmpToken,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PRF-001,View user profile page,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
PRF-002,Update profile username,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
PRF-003,Profile image file upload,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
PRF-004,Profile image URL upload SSRF surface,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
PRF-005,Profile SSTI in username display,5,5,25,High,可导致账户接管、数据泄露、远程代码执行或资金/隐私重大损失,Juice Shop 故意保留该弱点或实现简单，未经专项测试极易暴露
PRF-006,Profile update CSRF token,4,4,16,High,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,涉及多组件/边界条件，历史同类缺陷常见
ADR-001,List user addresses,3,3,9,Medium,功能错误或局部数据不一致，影响用户体验或局部安全,有一定实现复杂度，常规测试可能遗漏
ADR-002,Create delivery address,4,3,12,Medium,影响核心交易、认证或敏感个人数据，业务中断或合规风险明显,有一定实现复杂度，常规测试可能遗漏
