ID,title,requirement,Input_Fields,Data_Ranges,Conditions,Expected_Actions,Priority,Technique
LR-001,Valid login with correct credentials,Registered user can log in with valid email and password via the login form.,email + password,email: admin@juice-sh.op; password: admin123 (seed user admin),User exists; MD5(password) matches stored hash; deletedAt IS NULL; totpSecret is empty,200 on POST /rest/user/login; response.authentication contains token and bid; client stores token in localStorage and cookie (8h expiry); sessionStorage bid; redirect to /search or redirectUrl; isLoggedIn=true,High,EP
LR-002,Login redirects to custom return URL,After successful login the SPA navigates to redirectUrl from the login route query string.,email + password + redirectUrl query param,valid credentials; redirectUrl e.g. /#/basket,User authenticated successfully; redirectUrl present on /login route,router.navigateByUrl(redirectUrl) after basket merge; JWT and bid stored,Medium,DT
LR-003,TOTP-enabled account requires second factor,Users with non-empty totpSecret must complete 2FA after password validation.,email + password,email: wurstbrot@juice-sh.op; password: EinBelegtesBrotMitSchinkenSCHINKEN!,Password matches but totpSecret != '' in Users table,401 on POST /rest/user/login with status totp_token_required and data.tmpToken; client stores totp_tmp_token and navigates to /2fa/enter,High,DT
LR-004,Empty email blocks client-side submit,Login form must not submit when email is empty.,email (password may be filled),email: empty string; password: any non-empty,emailControl invalid due to Validators.required,Login button disabled; mat-error MANDATORY_EMAIL; no HTTP request to /rest/user/login,Medium,EP
LR-005,Empty password blocks client-side submit,Login form must not submit when password is empty.,password (email valid),password: empty string; email: non-empty,passwordControl invalid (required and minLength),Login button disabled; mat-error MANDATORY_PASSWORD; no HTTP request,Medium,EP
LR-006,Both email and password empty,Login form stays disabled when both fields are empty.,email + password,email: ''; password: '',Both reactive form controls invalid,Login button disabled; no HTTP request,Medium,EP
LR-007,Password minimum length boundary (length=1),Single-character password satisfies client minLength(1) and is sent to the server.,password + valid email,password length = 1,Client validation passes; server compares MD5 hash,Form submits; 200 if hash matches else 401 Invalid email or password,Medium,BVA
LR-008,Password below minimum length (empty),Zero-length password fails client validation before API call.,password,password length = 0,Validators.required and minLength(1) fail,Button disabled; MANDATORY_PASSWORD; no HTTP request,Low,BVA
LR-009,Malformed email without @ is still submitted,Login form has no email format validator; malformed email reaches the API.,email,email: admin (no @ or domain),Only Validators.required on emailControl,Request sent to POST /rest/user/login; SQL query uses raw email string; typically 401 Invalid email or password,Medium,EP
LR-010,SQL metacharacters in email field,Email is interpolated into raw SQL in routes/login.ts without parameterization.,email + password,email contains quotes or comment sequences e.g. admin'--,Raw string interpolation in Sequelize query,May alter SQL semantics; see LR-014; form still submits,High,DT
LR-011,Wrong password for valid email,Invalid password must not authenticate the user.,email + password,email: admin@juice-sh.op; password: incorrect non-empty value,MD5(password) does not match stored hash,401 Invalid email or password; token cookie and bid cleared; isLoggedIn=false; error shown in template,High,EP
LR-012,Non-existent email,Unknown email cannot log in.,email + password,email: nonexistent@juice-sh.op; password: any,SELECT returns no row,401 Invalid email or password; session artifacts cleared,Medium,EP
LR-013,Soft-deleted user cannot log in,Users with deletedAt set are excluded from login query (paranoid Users model).,email + password,email: chris.pike@juice-sh.op; password: uss enterprise,deletedFlag in seed; SQL includes AND deletedAt IS NULL,401 Invalid email or password; user treated as not found,Medium,DT
LR-014,SQL injection tautology in email,Classic SQLi in email may bypass password check (intentional vulnerability).,email + password,email: admin@juice-sh.op'-- or ' OR 1=1-- style payload; password: arbitrary,Unparameterized query in login route,200 possible with JWT for matched row; weakPasswordChallenge may trigger for admin@juice-sh.op + admin123,High,EP
LR-015,SQL injection UNION in email,UNION-based injection via email field may leak or alter query results.,email + password,email: ' UNION SELECT ... -- style payload,Column count and types must align for successful UNION,200 or 401 or 500 depending on payload; possible DB error leakage,High,EP
